1;A1B2C3;Suéter de lana;Perros;Suéter cálido de lana para perros pequeños. Ideal para el invierno.;1;15.99
2;D4E5F6;Impermeable con capucha;Perros;Impermeable ajustable con capucha para perros de todas las razas. Resistente al agua.;1;18.5
3;G7H8I9;Chaqueta acolchada;Perros;Chaqueta acolchada para perros medianos. Perfecta para el frío intenso.;1;22.75
4;J1K2L3;Camiseta deportiva;Perros;Camiseta de algodón con diseño deportivo para perros activos. Varios colores disponibles.;1;10.99
5;M4N5O6;Pijama de franela;Perros;Pijama suave de franela para perros. Ideal para dormir cómodo y cálido.;1;13.49
6;P7Q8R9;Suéter de punto;Gatos;Suéter de punto suave para gatos. Ajustable y cálido para días fríos.;1;12.99
7;S1T2U3;Chaleco acolchado;Gatos;Chaleco acolchado para gatos. Ligero y fácil de poner, mantiene el calor corporal.;1;16.25
8;V4W5X6;Camisa a cuadros;Gatos;Camisa de algodón a cuadros para gatos. Ideal para un estilo casual.;1;9.99
9;Y7Z8A9;Pijama de león;Gatos;Divertida pijama de león para gatos. Con capucha y pelaje en el cuello.;1;14.75
10;B1C2D3;Impermeable ligero;Gatos;Impermeable ligero para gatos. Perfecto para proteger de la lluvia sin incomodar.;1;11.5
11;E4F5G6;Disfraz de Superman;Perros;Disfraz de Superman para perros, con capa y logo en el pecho. Perfecto para perros héroes.;2;19.99
12;H7I8J9;Disfraz de Pirata;Perros;Disfraz de Pirata con sombrero y chaleco. Ideal para aventuras caninas en alta mar.;2;17.5
13;K1L2M3;Disfraz de Abeja;Perros;Disfraz de Abeja con alas y antenas. Perfecto para perros pequeños y medianos.;2;12.99
14;N4O5P6;Disfraz de Dragón;Perros;Disfraz de Dragón con escamas y cola larga. Divertido y cómodo para perros grandes.;2;21.75
15;Q7R8S9;Disfraz de Vaquero;Perros;Disfraz de Vaquero con sombrero y pañuelo. Ideal para perros con espíritu aventurero.;2;18
16;T1U2V3;Disfraz de Tiburón;Gatos;Disfraz de Tiburón con aleta dorsal. Ligero y cómodo para gatos.;2;14.25
17;W4X5Y6;Disfraz de Bruja;Gatos;Disfraz de Bruja con sombrero y capa. Perfecto para gatos en Halloween.;2;13.5
18;Z7A8B9;Disfraz de Unicornio;Gatos;Disfraz de Unicornio con cuerno y crin de colores. Ideal para gatos mágicos.;2;15.99
19;C1D2E3;Disfraz de Rey León;Gatos;Disfraz de Rey León con melena abundante. Hace que tu gato luzca majestuoso.;2;16.75
20;F4G5H6;Disfraz de Murciélago;Gatos;Disfraz de Murciélago con alas negras. Perfecto para un look misterioso y divertido.;2;12.5
21;I7J8K9;Cama ortopédica para perros;Perros;Cama ortopédica para perros, ideal para articulaciones. Espuma de memoria para un descanso cómodo.;3;39.99
22;L1M2N3;Cama estilo sofá para perros;Perros;Cama estilo sofá con respaldo y cojín suave, perfecta para perros de tamaño mediano a grande.;3;45.5
23;O4P5Q6;Colchón refrescante para perros;Perros;Colchón refrescante para mantener a los perros frescos en climas cálidos. Ligero y fácil de limpiar.;3;27.75
24;R7S8T9;Cama tipo iglú para perros;Perros;Cama tipo iglú con interior acolchado y acogedor, ideal para perros pequeños que buscan privacidad.;3;32.99
25;U1V2W3;Cama elevada para perros;Perros;Cama elevada con estructura de acero, ayuda a mantener a los perros frescos y alejados del suelo.;3;30
26;X4Y5Z6;Cama de cueva para gatos;Gatos;Cama de cueva para gatos, de tela suave y cálida. Espacio cerrado que da sensación de seguridad.;3;25.99
27;A7B8C9;Cama colgante para gatos;Gatos;Cama colgante para gatos, ajustable a estanterías o paredes. Ideal para gatos curiosos.;3;20.5
28;D1E2F3;Cama de ventana para gatos;Gatos;Cama de ventana con ventosas resistentes, perfecta para gatos que disfrutan de la vista exterior.;3;23.75
29;G4H5I6;Cama con calefacción para gatos;Gatos;Cama con calefacción para mantener a los gatos calientes en invierno. Bajo consumo de energía.;3;35
30;J7K8L9;Cama de felpa redonda para gatos;Gatos;Cama de felpa redonda, suave y mullida para un descanso profundo. Perfecta para gatos que adoran el confort.;3;18.99
31;M1N2O3;Casita de madera rústica;Perros;Casita de madera rústica para perros medianos, resistente al clima y fácil de ensamblar.;4;120
32;P4Q5R6;Casa de plástico resistente a la intemperie;Perros;Casa de plástico durable, resistente al agua y de fácil limpieza. Ideal para exteriores.;4;85.5
33;S7T8U9;Casita con terraza superior;Perros;Casita con terraza en la parte superior, permite que el perro tenga su propio mirador.;4;140.99
34;V1W2X3;Casita estilo chalet;Perros;Casita estilo chalet, con techos a dos aguas y ventilación adicional. Perfecta para climas cálidos.;4;130.75
35;Y4Z5A6;Casita portátil plegable;Perros;Casita portátil plegable, ligera y fácil de transportar. Ideal para viajes y acampadas.;4;45.99
